Extracted:,"United Nations High Commissioner for Refugees"
"Date extracted:","10/04/2021 21:53 UTC"
"Last updated:","08 December 2020"
"Some data presented may differ from statistics published previously due to retroactive changes or the inclusion of previously unavailable data."

"Data table contains the following:","Population figures"
"Content type","End year stock population totals"
"Data quick link",https://www.unhcr.org/refugee-statistics/download/?url=H02MqJ
"Data definitions",https://www.unhcr.org/refugee-statistics/methodology/
"Usage licence",https://creativecommons.org/licenses/by/4.0/
"Population types included","REF,ROC,ASY,IDP,IOC,VDA,OOC,STA"
Years:
Origin:
"Country of asylum:",all
Year,"Country of origin","Country of origin (ISO)","Country of asylum","Country of asylum (ISO)","Refugees under UNHCR's mandate",Asylum-seekers,"IDPs of concern to UNHCR","Venezuelans displaced abroad","Stateless persons","Others of concern"
1965,-,-,Togo,TGO,5000,0,0,,0,0
1965,-,-,Tunisia,TUN,500,0,0,,0,0
1965,-,-,Turkey,TUR,2000,0,0,,0,0
1965,-,-,Uganda,UGA,137400,0,0,,0,0
1965,-,-,"United States of America",USA,510000,0,0,,0,0
1965,-,-,Zambia,ZMB,5000,0,0,,0,0
1965,-,-,"Unknown ",,262000,0,0,,0,0
1966,-,-,Australia,AUS,40000,0,0,,0,0
1966,-,-,Austria,AUT,24500,0,0,,0,0
1966,-,-,Burundi,BDI,79000,0,0,,0,0
1966,-,-,Belgium,BEL,40000,0,0,,0,0
1966,-,-,Bhutan,BTN,3000,0,0,,0,0
1966,-,-,Cambodia,KHM,17000,0,0,,0,0
1966,-,-,Canada,CAN,10225,0,0,,0,0
1966,-,-,"Central African Rep.",CAF,43000,0,0,,0,0
1966,-,-,China,CHN,970,0,0,,0,0
1966,-,-,"Dem. Rep. of the Congo",COD,357100,0,0,,0,0
1966,-,-,France,FRA,179468,0,0,,0,0
1966,-,-,"United Kingdom of Great Britain and Northern Ireland",GBR,167000,0,0,,0,0
1966,-,-,Germany,DEU,140000,0,0,,0,0
1966,-,-,Greece,GRC,15300,0,0,,0,0
1966,-,-,"China, Hong Kong SAR",HKG,1250040,0,0,,0,0
1966,-,-,India,IND,45000,0,0,,0,0
1966,-,-,Italy,ITA,14000,0,0,,0,0
1966,-,-,Lebanon,LBN,3430,0,0,,0,0
1966,-,-,"China, Macao SAR",MAC,73770,0,0,,0,0
1966,-,-,Morocco,MAR,2180,0,0,,0,0
1966,-,-,Nepal,NPL,7000,0,0,,0,0
1966,-,-,Netherlands,NLD,8500,0,0,,0,0
1966,-,-,Rwanda,RWA,250,0,0,,0,0
1966,-,-,"Serbia and Kosovo: S/RES/1244 (1999)",SRB,26100,0,0,,0,0
1966,-,-,Senegal,SEN,61400,0,0,,0,0
1966,-,-,Spain,ESP,17000,0,0,,0,0
1966,-,-,Sweden,SWE,20000,0,0,,0,0
1966,-,-,Switzerland,CHE,20500,0,0,,0,0
1966,-,-,"United Rep. of Tanzania",TZA,33950,0,0,,0,0
1966,-,-,Turkey,TUR,1900,0,0,,0,0
1966,-,-,Uganda,UGA,156000,0,0,,0,0
1966,-,-,"United States of America",USA,500000,0,0,,0,0
1966,-,-,Zambia,ZMB,6290,0,0,,0,0
1966,-,-,"Unknown ",,137140,0,0,,0,0
1967,-,-,Australia,AUS,44000,0,0,,0,0
1967,-,-,Austria,AUT,24000,0,0,,0,0
1967,-,-,Burundi,BDI,79000,0,0,,0,0
1967,-,-,Belgium,BEL,34000,0,0,,0,0
1967,-,-,Cambodia,KHM,20000,0,0,,0,0
1967,-,-,Canada,CAN,9991,0,0,,0,0
1967,-,-,"Central African Rep.",CAF,35000,0,0,,0,0
1967,-,-,"Dem. Rep. of the Congo",COD,434100,0,0,,0,0
1967,-,-,France,FRA,177200,0,0,,0,0
1967,-,-,"United Kingdom of Great Britain and Northern Ireland",GBR,164000,0,0,,0,0
1967,-,-,Germany,DEU,112000,0,0,,0,0
1967,-,-,Greece,GRC,12270,0,0,,0,0
1967,-,-,India,IND,50000,0,0,,0,0
1967,-,-,Italy,ITA,13000,0,0,,0,0
1967,-,-,"China, Macao SAR",MAC,74000,0,0,,0,0
1967,-,-,Morocco,MAR,3000,0,0,,0,0
1967,-,-,Nepal,NPL,7180,0,0,,0,0
1967,-,-,Netherlands,NLD,8000,0,0,,0,0
1967,-,-,"New Zealand",NZL,3000,0,0,,0,0
1967,-,-,"Serbia and Kosovo: S/RES/1244 (1999)",SRB,26210,0,0,,0,0
1967,-,-,Senegal,SEN,59870,0,0,,0,0
1967,-,-,Spain,ESP,20000,0,0,,0,0
1967,-,-,Sudan,SDN,33000,0,0,,0,0
1967,-,-,Sweden,SWE,18000,0,0,,0,0
1967,-,-,Switzerland,CHE,21000,0,0,,0,0
1967,-,-,"United Rep. of Tanzania",TZA,39800,0,0,,0,0
